Name,City,Salary_From,Salary_To,Currency,Experience,Employment_Type,Role
официант в международный отель,астана,250000.0,,KZT,нет опыта,полная занятость,"официант, бармен, бариста"
директор в частную начальную школу,астана,400000.0,500000.0,KZT,более 6 лет,полная занятость,"генеральный директор, исполнительный директор (ceo)"
influence manager,астана,400000.0,,KZT,от 1 года до 3 лет,полная занятость,другое
инженер-проектировщик видеонаблюдения и слаботочных систем,астана,600000.0,750000.0,KZT,от 1 года до 3 лет,полная занятость,"инженер-конструктор, инженер-проектировщик"
графический дизайнер,астана,300000.0,500000.0,KZT,от 1 года до 3 лет,полная занятость,"дизайнер, художник"
backend python developer,астана,30.0,,USD,нет опыта,полная занятость,"программист, разработчик"
delivery / flow manager,астана,,2000.0,USD,от 3 до 6 лет,полная занятость,менеджер продукта
smm-менеджер,астана,150000.0,,KZT,от 3 до 6 лет,частичная занятость,"smm-менеджер, контент-менеджер"
дизайнер-оператор в типографию,астана,220000.0,300000.0,KZT,от 1 года до 3 лет,полная занятость,"дизайнер, художник"
управляющий ресторанами сети,астана,500000.0,1000000.0,KZT,от 3 до 6 лет,полная занятость,менеджер ресторана
объектный менеджер по продажам,астана,400000.0,1200000.0,KZT,от 1 года до 3 лет,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
менеджер по продажам логистических услуг,астана,700000.0,,KZT,от 1 года до 3 лет,полная занятость,"менеджер по логистике, менеджер по вэд"
bi developer / full-stack analyst / middle data analyst,астана,400000.0,,KZT,от 1 года до 3 лет,полная занятость,"bi-аналитик, аналитик данных"
менеджер по тик ток,астана,250000.0,250000.0,KZT,нет опыта,полная занятость,менеджер продукта
визуальный мерчендайзер,астана,250000.0,250000.0,KZT,от 1 года до 3 лет,частичная занятость,мерчандайзер
руководитель отдела продаж,астана,1000000.0,3000000.0,KZT,от 1 года до 3 лет,полная занятость,руководитель отдела продаж
контент-маркетолог,астана,500000.0,,KZT,от 1 года до 3 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
дизайнер-технолог в мебельный цех,астана,300000.0,350000.0,KZT,нет опыта,полная занятость,технолог
дизайнер в мебельную компанию,астана,500000.0,1500000.0,KZT,от 1 года до 3 лет,полная занятость,"дизайнер, художник"
бизнес-ассистент генерального директора,астана,500000.0,,KZT,от 1 года до 3 лет,полная занятость,"секретарь, помощник руководителя, ассистент"
оператор удаленного колл-центра,астана,200000.0,,KZT,нет опыта,полная занятость,"оператор call-центра, специалист контактного центра"
